Timestamp,Angle,PupilSize,ModelID,LightIntensity
2025-09-03 22:48:16.365,0,0.6939885,0,0
2025-09-03 22:48:18.212,0,0.7328994,0,0
2025-09-03 22:48:20.195,0.002511161,0.9628708,0,0
2025-09-03 22:48:22.081,0,0.8654829,0,0
2025-09-03 22:48:24.211,0.002511161,0.8037541,2,18
2025-09-03 22:48:24.217,0.002511161,0.8652905,2,18
2025-09-03 22:48:26.001,0.002511161,0.8973039,6,105
2025-09-03 22:48:26.001,0.002511161,0.8973039,6,105
2025-09-03 22:48:27.920,0,0.8956622,1,210
2025-09-03 22:48:27.921,0,0.8956622,1,210
2025-09-03 22:48:29.057,0,0.8697957,2,105
2025-09-03 22:48:29.060,0,0.6730939,2,105
2025-09-03 22:48:30.687,0,0.7929085,4,46
2025-09-03 22:48:30.689,0,0.7922959,4,46
2025-09-03 22:48:32.308,0.002511161,1.053339,4,46
2025-09-03 22:48:32.311,0.002511161,0.8267655,4,46
2025-09-03 22:48:33.705,0.002511161,0.7288209,5,210
2025-09-03 22:48:33.705,0.002511161,0.7288209,5,210
2025-09-03 22:48:35.271,0,1.006389,2,46
2025-09-03 22:48:35.272,0,0.7056131,2,46
