Timestamp,Angle,PupilSize,ModelID,LightIntensity
2025-09-03 23:53:41.076,0.005022321,0.01547128,0,0
2025-09-03 23:53:41.462,0.005022321,0.01547385,0,0
2025-09-03 23:53:41.881,0.005022321,0.01547385,0,0
2025-09-03 23:53:42.334,0.005022321,0.01547385,0,0
2025-09-03 23:53:42.734,0.002511161,0.01547385,1,1
2025-09-03 23:53:42.735,0.002511161,0.01547385,1,1
2025-09-03 23:53:43.195,0.005022321,0.01547385,3,4
2025-09-03 23:53:43.195,0.005022321,0.01547385,3,4
2025-09-03 23:53:45.429,0.005022321,0.01547385,1,4
2025-09-03 23:53:45.429,0.005022321,0.01547385,1,4
2025-09-03 23:53:46.375,0.005022321,0.01547385,3,3
2025-09-03 23:53:46.376,0.005022321,0.01547385,3,3
2025-09-03 23:53:46.856,0.005022321,0.01547385,3,1
2025-09-03 23:53:46.857,0.005022321,0.01547385,3,1
2025-09-03 23:53:47.279,0.005022321,0.01547385,3,2
2025-09-03 23:53:47.279,0.005022321,0.01547385,3,2
2025-09-03 23:53:47.747,0.005022321,0.01547385,2,4
2025-09-03 23:53:47.749,0.005022321,0.01547385,2,4
2025-09-03 23:53:48.326,0.007533482,0.01547385,1,4
2025-09-03 23:53:48.326,0.007533482,0.01547385,1,4
2025-09-03 23:53:48.763,0.005022321,0.01547385,3,1
2025-09-03 23:53:48.764,0.005022321,0.01547385,3,1
2025-09-03 23:53:49.145,0.005022321,0.01547385,3,4
2025-09-03 23:53:49.146,0.005022321,0.01547385,3,4
2025-09-03 23:53:49.529,0.005022321,0.01547385,3,2
2025-09-03 23:53:49.529,0.005022321,0.01547385,3,2
2025-09-03 23:53:49.833,0.007533482,0.01547385,3,2
2025-09-03 23:53:49.834,0.007533482,0.01547385,3,2
2025-09-03 23:53:50.326,0.005022321,0.01547385,1,2
2025-09-03 23:53:50.326,0.005022321,0.01547385,1,2
2025-09-03 23:53:50.685,0.002511161,0.01547385,2,2
2025-09-03 23:53:50.686,0.002511161,0.01547385,2,2
2025-09-03 23:53:51.111,0.005022321,0.01547385,2,1
2025-09-03 23:53:51.112,0.005022321,0.01547385,2,1
2025-09-03 23:53:51.596,0.005022321,0.01547385,3,4
2025-09-03 23:53:51.596,0.005022321,0.01547385,3,4
2025-09-03 23:53:52.000,0.002511161,0.01547385,1,4
2025-09-03 23:53:52.000,0.002511161,0.01547385,1,4
2025-09-03 23:53:52.407,0.007533482,0.01547385,2,4
2025-09-03 23:53:52.407,0.007533482,0.01547385,2,4
2025-09-03 23:53:52.743,0.002511161,0.01547385,1,3
2025-09-03 23:53:52.744,0.002511161,0.01547385,1,3
2025-09-03 23:53:53.153,0.007533482,0.01547385,1,2
2025-09-03 23:53:53.153,0.007533482,0.01547385,1,2
2025-09-03 23:53:53.515,0.005022321,0.01547385,1,2
2025-09-03 23:53:53.516,0.005022321,0.01547385,1,2
2025-09-03 23:53:53.853,0.005022321,0.01547385,2,2
2025-09-03 23:53:53.853,0.005022321,0.01547385,2,2
2025-09-03 23:53:54.164,0.005022321,0.01547385,1,1
2025-09-03 23:53:54.165,0.005022321,0.01547385,1,1
2025-09-03 23:53:54.470,0.005022321,0.01547385,1,1
2025-09-03 23:53:54.471,0.005022321,0.01547385,1,1
2025-09-03 23:53:54.731,0.007533482,0.01547385,1,3
2025-09-03 23:53:54.732,0.007533482,0.01547385,1,3
2025-09-03 23:53:55.013,0.005022321,0.01547385,2,3
2025-09-03 23:53:55.013,0.005022321,0.01547385,2,3
2025-09-03 23:53:55.369,0.005022321,0.01547385,2,2
2025-09-03 23:53:55.369,0.005022321,0.01547385,2,2
2025-09-03 23:53:55.830,0.005022321,0.01547385,2,1
2025-09-03 23:53:55.831,0.005022321,0.01547385,2,1
2025-09-03 23:53:56.437,0.005022321,0.01547385,3,1
2025-09-03 23:53:56.437,0.005022321,0.01547385,3,1
2025-09-03 23:53:56.801,0.005022321,0.01547385,2,3
2025-09-03 23:53:56.801,0.005022321,0.01547385,2,3
