Timestamp,Angle,PupilSize,ModelID,LightIntensity
2025-09-03 23:46:18.738,0.002511161,0.467465,0,0
2025-09-03 23:46:19.072,0.002511161,0.5324727,0,0
2025-09-03 23:46:19.405,0.002511161,0.4781549,0,0
2025-09-03 23:46:19.740,0.002511161,0.492927,0,0
2025-09-03 23:46:20.072,0.002511161,0.4308166,0,0
2025-09-03 23:46:20.492,0.002511161,0.4942501,0,0
2025-09-03 23:46:20.739,0.002511161,0.4550861,0,0
2025-09-03 23:46:21.071,0.002511161,0.4841139,0,0
2025-09-03 23:46:21.406,0.002511161,0.4146946,0,0
2025-09-03 23:46:21.738,0.002511161,0.4760828,0,0
2025-09-03 23:46:22.071,0.002511161,0.5006207,0,0
2025-09-03 23:46:22.413,0,0.4614203,0,0
2025-09-03 23:46:22.740,0,0.471794,0,0
2025-09-03 23:46:23.072,0,0.4768029,0,0
2025-09-03 23:46:23.406,0,0.4250518,0,0
2025-09-03 23:46:23.819,0.002511161,0.4671777,1,2
2025-09-03 23:46:24.073,0.002511161,0.4700546,1,2
2025-09-03 23:46:24.512,0,0.4552612,3,2
2025-09-03 23:46:24.740,0,0.4532669,3,2
2025-09-03 23:46:25.073,0,0.4440005,3,2
2025-09-03 23:46:25.405,0,0.4369335,3,2
2025-09-03 23:46:25.740,0.002511161,0.4429792,2,2
2025-09-03 23:46:26.073,0.002511161,0.4434189,2,2
2025-09-03 23:46:26.405,0.002511161,0.4684086,2,2
2025-09-03 23:46:26.740,0.002511161,0.4712213,2,2
2025-09-03 23:46:27.072,0.002511161,0.3999249,2,2
2025-09-03 23:46:27.406,0.002511161,0.468278,2,2
2025-09-03 23:46:27.740,0.002511161,0.476373,2,2
2025-09-03 23:46:28.074,0.002511161,0.4298243,2,2
2025-09-03 23:46:28.484,0,0.4057421,1,4
2025-09-03 23:46:28.740,0,0.4694627,1,4
2025-09-03 23:46:29.074,0,0.4785587,3,2
2025-09-03 23:46:29.422,0.002511161,0.5244087,3,4
2025-09-03 23:46:29.795,0.002511161,0.5602384,3,4
2025-09-03 23:46:30.072,0.002511161,0.5489947,3,4
2025-09-03 23:46:30.419,0,0.5585093,3,1
2025-09-03 23:46:30.739,0,0.5460609,3,1
2025-09-03 23:46:31.072,0.002511161,0.5630778,2,3
2025-09-03 23:46:31.434,0.002511161,0.4497276,2,4
2025-09-03 23:46:31.739,0.002511161,0.414172,2,4
2025-09-03 23:46:32.074,0.002511161,0.4314902,3,3
2025-09-03 23:46:32.406,0.002511161,0.4340056,2,3
2025-09-03 23:46:32.739,0,0.4423221,1,1
2025-09-03 23:46:33.073,0.002511161,0.4184372,2,1
2025-09-03 23:46:33.407,0.002511161,0.4292376,1,2
2025-09-03 23:46:33.740,0.002511161,0.4518964,1,3
2025-09-03 23:46:34.072,0.002511161,0.4558485,1,3
2025-09-03 23:46:34.406,0.002511161,0.4518202,2,1
2025-09-03 23:46:34.739,0.002511161,0.4636658,3,4
2025-09-03 23:46:35.071,0.002511161,0.451044,1,4
2025-09-03 23:46:35.429,0.002511161,0.498829,1,1
2025-09-03 23:46:35.778,0,0.4666935,1,3
2025-09-03 23:46:36.071,0,0.4352276,1,3
2025-09-03 23:46:36.507,0,0.4488516,3,3
2025-09-03 23:46:36.739,0.002511161,0.4205646,3,3
2025-09-03 23:46:37.129,0.002511161,0.446617,3,1
2025-09-03 23:46:37.406,0.002511161,0.4249532,3,1
2025-09-03 23:46:37.739,0,0.475374,1,3
2025-09-03 23:46:38.071,0.002511161,0.4503686,3,3
2025-09-03 23:46:38.405,0.002511161,0.4467737,1,4
2025-09-03 23:46:38.738,0,0.4652979,1,2
2025-09-03 23:46:39.072,0.002511161,0.4262484,2,3
2025-09-03 23:46:39.407,0.002511161,0.4251043,2,3
2025-09-03 23:46:39.830,0.002511161,0.433556,3,2
2025-09-03 23:46:40.098,0.002511161,0.4506845,2,4
2025-09-03 23:46:40.405,0.002511161,0.4273031,2,4
2025-09-03 23:46:40.741,0.002511161,0.5284171,1,1
2025-09-03 23:46:41.072,0.002511161,0.4139887,1,1
2025-09-03 23:46:41.406,0.002511161,0.5109295,1,1
2025-09-03 23:46:41.740,0.002511161,0.5001609,1,1
2025-09-03 23:46:42.074,0.002511161,0.4664334,1,1
